Query Number,File,Max Score,Avg Score,Top Ten Avg Score,Number of Files not Found,Total Files Returned
1,MathArticles/wpmath0000012/Plancherel_theorem_for_spherical_functions/248.xml,1,0.6435297208031452,0.724493693372396,1,20
2,MathArticles/wpmath0000006/Ostwald–Freundlich_equation/54.xml,1,0.5504763516053316,0.624813471711677,1,20
3,MathArticles/wpmath0000008/Gårding's_inequality/1.xml,1,0.4548827062358166,0.5735048378091716,1,20
4,MathArticles/wpmath0000003/Almost_periodic_function/27.xml,0,0,0,0,0
5,MathArticles/wpmath0000004/Envelope_(mathematics)/20.xml,1,0.5369035464047442,0.6679386621424444,1,20
6,MathArticles/wpmath0000007/Josephson_penetration_depth/8.xml,1,0.8168801939058172,1,1,20
7,MathArticles/wpmath0000001/Euler-Maclaurin_formula/51.xml,1,0.6837571468819041,0.8020957817057184,1,20
8,MathArticles/wpmath0000004/Exact_coloring/3.xml,1,0.5483025370071704,0.6655405196476625,1,20
9,MathArticles/wpmath0000002/Indefinite_orthogonal_group/0.xml,1,0.7354262954877433,0.8564713203796197,2,20
10,MathArticles/wpmath0000006/Bicoherence/10.xml,0,0,0,0,0
11,MathArticles/wpmath0000012/Formulas_for_generating_Pythagorean_triples/76.xml,1,0.6615685732209488,0.783500960031145,0,20
12,MathArticles/wpmath0000015/Davenport_constant/5.xml,1,0.5928950666153242,0.6505718718755105,1,20
13,MathArticles/wpmath0000010/Prehomogeneous_vector_space/83.xml,1,1,1,1,20
14,MathArticles/wpmath0000012/Orthogonality_principle/24.xml,1,0.9707049486461251,1,3,20
15,MathArticles/wpmath0000009/Boyle_temperature/2.xml,0,0,0,0,0
16,MathArticles/wpmath0000006/Kepler_problem/23.xml,0,0,0,0,0
17,MathArticles/wpmath0000004/Coefficient_of_variation/29.xml,1,0.8122503801041177,1,2,20
18,MathArticles/wpmath0000001/Bernoulli_number/40.xml,1,0.9506578947368421,1,1,20
19,MathArticles/wpmath0000001/Recursively_enumerable_language/3.xml,1,0.9583333333333334,1,1,20
20,MathArticles/wpmath0000006/Yale_shooting_problem/28.xml,1,0.6778878933806126,0.8518642661982826,3,20
21,MathArticles/wpmath0000001/Digital_filter/19.xml,1,0.49572420180905297,0.5796857317328685,2,20
22,MathArticles/wpmath0000002/Terminal_velocity/24.xml,1,0.584390098238434,0.6617652177974934,1,20
23,MathArticles/wpmath0000010/Timoshenko_beam_theory/51.xml,1,0.8903566667137168,1,3,20
24,MathArticles/wpmath0000004/Laplace–Runge–Lenz_vector/125.xml,1,0.5797906994679818,0.6536808729461435,1,20
25,MathArticles/wpmath0000004/Hyperbolic_quaternion/2.xml,1,0.8771422302291205,1,4,20
26,MathArticles/wpmath0000012/Sum_frequency_generation_spectroscopy/6.xml,1,0.6025339525580911,0.6488601045216621,6,20
27,MathArticles/wpmath0000005/Hanbury_Brown_and_Twiss_effect/15.xml,1,0.8815488175556961,0.985,1,20
28,MathArticles/wpmath0000015/Rayleigh–Plesset_equation/48.xml,1,0.8529211398681269,1,2,20
29,MathArticles/wpmath0000015/Cluster-expansion_approach/1.xml,1,0.768496467412876,0.8286764705882352,7,20
30,MathArticles/wpmath0000002/Hypergraph/51.xml,1,0.8633151978740214,0.9444444444444444,3,20
31,MathArticles/wpmath0000014/Semi-inner-product/9.xml,1,0.4690198575603418,0.5663504810232868,0,20
32,MathArticles/wpmath0000013/Magnetic_braking/16.xml,1,0.4936636281211539,0.5566899836119642,0,20
33,MathArticles/wpmath0000003/Sliding_mode_control/71.xml,1,0.8207926017369893,1,0,20
34,MathArticles/wpmath0000009/Admissible_heuristic/14.xml,1,0.8968246187363834,0.9416666666666667,3,20
35,MathArticles/wpmath0000008/Yield_surface/57.xml,0,0,0,0,0
36,MathArticles/wpmath0000014/Backpressure_routing/49.xml,1,1,1,0,20
37,MathArticles/wpmath0000014/Natural_units/85.xml,1,0.46602318990114017,0.5683156369931449,0,20
38,MathArticles/wpmath0000016/Multiple_kernel_learning/33.xml,0.8771240441801189,0.5568839638230075,0.665348333658008,2,20
39,MathArticles/wpmath0000003/Generalized_coordinates/9.xml,1,0.5824455672439373,0.7015106774288663,0,20
40,MathArticles/wpmath0000001/Absolute_value/138.xml,1,0.5474457625798179,0.6276341328081121,1,20
41,MathArticles/wpmath0000012/Geometric_calculus/7.xml,1,0.4960731756497676,0.6005429433842854,1,20
42,MathArticles/wpmath0000013/Griesmer_bound/17.xml,1,0.7400968776445377,0.8729550908216985,0,20
43,MathArticles/wpmath0000015/Markov–Kakutani_fixed-point_theorem/0.xml,1,0.5982726090429535,0.6867871600575932,0,20
44,MathArticles/wpmath0000009/Phase_retrieval/34.xml,0.7139393939393939,0.5947598747311761,0.6776363636363636,1,20
45,MathArticles/wpmath0000008/Clenshaw–Curtis_quadrature/17.xml,1,0.8925822477977483,1,4,20
46,MathArticles/wpmath0000004/Representable_functor/3.xml,1,0.6300533473138542,0.7250154285402876,3,20
47,MathArticles/wpmath0000003/Prenex_normal_form/20.xml,1,0.6946052241130566,0.7886449275362319,0,20
48,MathArticles/wpmath0000013/Partially_ordered_ring/11.xml,1,0.9640322580645161,1,5,20
49,MathArticles/wpmath0000005/Langmuir–Blodgett_trough/12.xml,1,0.5758348579772211,0.728663244022406,0,20
50,MathArticles/wpmath0000004/Turing_reduction/22.xml,1,0.5906417806819527,0.6885210092278502,0,20
51,MathArticles/wpmath0000005/Laplace–Beltrami_operator/62.xml,0.6099936629483409,0.4030495110902724,0.4773212941294461,2,20
52,MathArticles/wpmath0000005/Stokes_parameters/37.xml,1,0.6122431797885518,0.6715,2,20
53,MathArticles/wpmath0000008/Divisor_summatory_function/47.xml,1,0.49348921137101653,0.6127304087028248,0,20
54,MathArticles/wpmath0000006/Liquid–liquid_extraction/1.xml,1,0.5158900327013072,0.654471357136664,0,20
55,MathArticles/wpmath0000014/Nagata's_conjecture/0.xml,1,0.5311062892451303,0.5844786688394734,1,20
56,MathArticles/wpmath0000003/Knuth–Bendix_completion_algorithm/32.xml,1,0.9343652011675845,1,0,20
57,MathArticles/wpmath0000001/Uniform_convergence/107.xml,0.920343137254902,0.5254088888723777,0.5913037655380454,1,20
58,MathArticles/wpmath0000004/Resting_potential/0.xml,1,0.5180442535038392,0.570160269535336,5,20
59,MathArticles/wpmath0000004/Iwasawa_decomposition/17.xml,0,0,0,0,0
60,MathArticles/wpmath0000014/Pearl_vortex/2.xml,1,0.5247071085863635,0.6764796873395071,0,20
61,MathArticles/wpmath0000004/Comma_category/154.xml,1,0.6224886747410157,0.7134555394782174,1,20
62,MathArticles/wpmath0000009/Kutta–Joukowski_theorem/40.xml,1,0.7355795895117871,0.7975076280512206,0,20
63,MathArticles/wpmath0000006/Dini_derivative/1.xml,1,0.5906669102383112,0.67190867003367,0,20
64,MathArticles/wpmath0000014/Template_Subatomic_particle__symbol__chargino_i-+/0.xml,1,0.9094551282051282,1,4,20
65,MathArticles/wpmath0000003/Incidence_matrix/15.xml,1,0.9078703703703703,0.9391666666666667,2,20
66,MathArticles/wpmath0000004/Trigonometric_interpolation/12.xml,1,0.8605141142229876,1,2,20
67,MathArticles/wpmath0000014/Duality_gap/1.xml,0.525,0.4843939393939394,0.4922727272727273,0,20
68,MathArticles/wpmath0000012/Leggett–Garg_inequality/0.xml,1,0.8809147869674185,1,1,20
69,MathArticles/wpmath0000009/Eilenberg–Moore_spectral_sequence/2.xml,0,0,0,0,0
70,MathArticles/wpmath0000007/Lamm_equation/0.xml,0,0,0,0,0
71,MathArticles/wpmath0000015/Oversampled_binary_image_sensor/23.xml,1,0.9922222222222222,1,5,20
72,MathArticles/wpmath0000009/Quantum_amplifier/9.xml,1,0.6270743145743146,0.7463474025974026,2,20
73,MathArticles/wpmath0000001/Electrical_impedance/18.xml,1,0.5263431178206509,0.6124289897644704,0,20
74,MathArticles/wpmath0000005/Recursive_least_squares_filter/2.xml,1,0.9714169000933707,1,3,20
75,MathArticles/wpmath0000014/Factor_regression_model/15.xml,1,0.7080127777533068,0.7959172412263957,6,20
76,MathArticles/wpmath0000012/Network_science/11.xml,1,0.8058247052801516,0.9369662588060808,1,20
77,MathArticles/wpmath0000002/Phonon/130.xml,0,0,0,0,0
78,MathArticles/wpmath0000014/Ultrasensitivity/25.xml,1,0.5673176994476963,0.6635337717652624,2,20
79,MathArticles/wpmath0000001/Original_proof_of_Gödel's_completeness_theorem/28.xml,1,0.49109586206111955,0.5865331626008199,0,20
80,MathArticles/wpmath0000002/Algebraic_integer/17.xml,1,0.9431490384615384,1,0,20
81,MathArticles/wpmath0000016/Briggs–Bers_criterion/34.xml,1,0.9399405061169767,1,3,20
82,MathArticles/wpmath0000013/Entanglement-assisted_stabilizer_formalism/28.xml,1,0.9767137320044297,1,0,20
83,MathArticles/wpmath0000003/Canonical_transformation/88.xml,1,0.564923601952453,0.6340091101382104,2,20
84,MathArticles/wpmath0000007/Hölder_condition/12.xml,0,0,0,0,0
85,MathArticles/wpmath0000004/Complex_projective_space/3.xml,0,0,0,0,0
86,MathArticles/wpmath0000016/Approximation-preserving_reduction/38.xml,1,0.5151599935221739,0.5782772084668331,1,20
87,MathArticles/wpmath0000001/Quadratic_equation/150.xml,0.6291666666666667,0.5164755011630237,0.5289805741993625,2,20
88,MathArticles/wpmath0000013/Higher-dimensional_gamma_matrices/118.xml,0,0,0,0,0
89,MathArticles/wpmath0000005/Differential_algebra/13.xml,1,0.9854166666666666,1,0,20
90,MathArticles/wpmath0000001/Borel-Cantelli_lemma/45.xml,1,0.8449199500628919,0.8748809523809524,1,20
91,MathArticles/wpmath0000007/Push–relabel_maximum_flow_algorithm/18.xml,1,0.7190091177940344,0.8584312946190022,0,20
92,MathArticles/wpmath0000007/Carry-save_adder/0.xml,1,0.6056223108592531,0.7150039530057704,2,20
93,MathArticles/wpmath0000005/Shekel_function/3.xml,0,0,0,0,0
94,MathArticles/wpmath0000013/Reduced_dynamics/3.xml,1,0.7370824347555653,0.7906886474109188,2,20
95,MathArticles/wpmath0000002/Conjunctive_normal_form/247.xml,1,0.3551809210526316,0.3809736842105263,4,20
96,MathArticles/wpmath0000001/Continuum_mechanics/82.xml,0,0,0,0,0
97,MathArticles/wpmath0000004/Downhill_creep/3.xml,1,0.5817060173987079,0.6701664040595077,2,20
98,MathArticles/wpmath0000003/Discretization/38.xml,0,0,0,0,0
99,MathArticles/wpmath0000014/Streeter–Phelps_equation/26.xml,1,0.6053042261456852,0.6638748416981995,4,20
100,MathArticles/wpmath0000008/Varifold/5.xml,1,0.5457677830461943,0.6852547885584763,1,20
101,MathArticles/wpmath0000001/Bernoulli_number/86.xml,0,0,0,0,0
102,MathArticles/wpmath0000002/Conjunctive_normal_form/84.xml,1,0.6821280388190409,0.8193659535667732,0,20
103,MathArticles/wpmath0000012/Yeoh_(hyperelastic_model)/47.xml,0,0,0,0,0
104,MathArticles/wpmath0000014/Hamiltonian_optics/41.xml,1,0.4561331354157656,0.5410804129527674,0,20
105,MathArticles/wpmath0000004/Resistance_distance/17.xml,0.7212337662337662,0.6299571546936074,0.7098342953342953,2,20
106,MathArticles/wpmath0000016/Mean_field_particle_methods/98.xml,0,0,0,0,0
107,MathArticles/wpmath0000016/Poisson_wavelet/39.xml,0.6071895424836602,0.48220372367431197,0.4999479909774028,0,20
108,MathArticles/wpmath0000013/Multislice/32.xml,1,0.5638281199768362,0.6821117060174939,3,20
109,MathArticles/wpmath0000006/Watt's_curve/4.xml,0,0,0,0,0
110,MathArticles/wpmath0000003/Degenerate_conic/15.xml,1,0.918338227811552,1,2,20
111,MathArticles/wpmath0000014/Computer_for_operations_with_functions/66.xml,1,0.879952602063586,1,4,20
112,MathArticles/wpmath0000006/Portal_Gravitation__Mass/0.xml,1,0.7421177576246396,0.9217327586206896,3,20
113,MathArticles/wpmath0000014/Class_kappa_function/3.xml,1,0.93199939289524,1,2,20
114,MathArticles/wpmath0000016/Shearlet/49.xml,0,0,0,0,0
115,MathArticles/wpmath0000004/Neutron_transport/41.xml,1,0.9162867313210563,1,2,20
116,MathArticles/wpmath0000001/Finite_field/337.xml,0.8333333333333333,0.7664190580924451,0.8333333333333333,0,20
117,MathArticles/wpmath0000014/De_Donder–Weyl_theory/0.xml,1,0.5965984519968401,0.6764467296826631,5,20
118,MathArticles/wpmath0000003/Skolem_normal_form/10.xml,1,0.5872020421241343,0.6736472118061448,0,20
119,MathArticles/wpmath0000013/Head_grammar/11.xml,1,0.582298596828299,0.6990435689538429,2,20
120,MathArticles/wpmath0000004/Rotation_matrix/220.xml,0.6323730158730159,0.5315747025092824,0.573300323601627,2,20
121,MathArticles/wpmath0000004/Poynting's_theorem/16.xml,1,0.5767038671289665,0.6544206832357004,0,20
122,MathArticles/wpmath0000013/Cnoidal_wave/60.xml,1,0.622751794709751,0.6998805756959703,0,20
123,MathArticles/wpmath0000006/Bifurcation_theory/3.xml,1,0.659486192598449,0.7375808340446472,2,20
124,MathArticles/wpmath0000002/Autonomous_system_(mathematics)/28.xml,1,0.5560102953246103,0.6147426297626023,5,20
125,MathArticles/wpmath0000004/Hamiltonian_constraint/47.xml,1,0.8376627069126305,1,0,20
126,MathArticles/wpmath0000005/Wetting/0.xml,0.7145244461420932,0.578571113861941,0.6407115161450795,4,20
127,MathArticles/wpmath0000016/Imprecise_Dirichlet_process/22.xml,1,0.9370833333333334,1,0,20
128,MathArticles/wpmath0000003/Percentile/28.xml,1,0.5506985894062004,0.6233219682063866,4,20
129,MathArticles/wpmath0000014/Local_Elevation/0.xml,1,0.9655349794238683,1,2,20
130,MathArticles/wpmath0000005/Dyck_language/54.xml,0,0,0,0,0
