File,Original Average Score,Separated Average Score,Subscript Sensitve Average Score,Original Execution Time,Separated Execution Time,Subscript Sensitive Execution Time,Original Top 10 Average Score,Separated Top 10 Average Score,Subscript Sensitive Top 10 Average Score,Original Top 10 Max Score,Separated Top 10 Max Score,Subscript Sensitve Top 10 Max Score,Original Number of Results,Separated Number of Results,Subscript Sensitive Number of Results
MathArticles/wpmath0000012/Plancherel_theorem_for_spherical_functions/248.xml,0.9135559186703992,0.8935887703003152,0.9163152163152164,1302.9801845550537,658.5190296173096,942.21830368042,0.7004125062155234,0.6489604064433192,0.7555004176467837,0.8097069597069597,0.7600144787644787,1.0,868,224,427
MathArticles/wpmath0000006/Ostwald–Freundlich_equation/54.xml,0.5742881333453108,0.5614736452080652,0.6208071126910271,455.1925659179688,436.0547065734863,438.4312629699707,0.4572945117433052,0.5376980901464392,0.5036778354834445,0.4930155089558759,1.0,0.5941837352000691,65,25,40
MathArticles/wpmath0000008/Gårding's_inequality/1.xml,0.570008918083792,0.5545615040755432,0.5911010095011281,582.4623107910156,611.7942333221436,671.2324619293213,0.570008918083792,0.5545615040755432,0.5741738615636408,1.0,1.0,1.0,10,10,12
MathArticles/wpmath0000003/Almost_periodic_function/27.xml,0.4603375838326706,0.4603375838326706,0.4587157051955436,705.202579498291,705.2123546600342,765.0744915008545,0.4572298842367718,0.4572298842367718,0.4439480216094907,1.0,1.0,1.0,11,11,13
MathArticles/wpmath0000004/Envelope_(mathematics)/20.xml,0.7015004550110909,0.7037935710849939,0.7146258887818462,551.9232749938965,579.1795253753662,604.4442653656006,0.6902478128492361,0.6853170501753333,0.6557592030797308,1.0,1.0,1.0,19,17,16
MathArticles/wpmath0000007/Josephson_penetration_depth/8.xml,1.0,1.0,1.0,2867.5436973571777,595.4487323760986,1051.1095523834229,0.4703830277321656,0.5108032185854766,0.8105952380952381,0.7958333333333334,0.5741071428571429,0.8625,8148,978,2103
MathArticles/wpmath0000001/Euler-Maclaurin_formula/51.xml,0.8613499873231827,0.7956205410750865,0.8919234151988682,580.8539390563965,579.944372177124,534.1248512268066,0.6526449854471668,0.6606596227920023,0.7173831157154151,1.0,1.0,1.0,171,54,35
MathArticles/wpmath0000004/Exact_coloring/3.xml,0.6854310852755395,0.5905074352025571,0.6480990558961498,423.1412410736084,345.8395004272461,476.5453338623047,0.5877115866589551,0.6017521367521367,0.551386571429225,0.6683760683760684,1.0,0.5787037037037037,69,43,64
MathArticles/wpmath0000002/Indefinite_orthogonal_group/0.xml,0.8298361503351875,0.7555209970166928,0.8497596633861075,328.1269073486328,251.190185546875,315.9315586090088,0.55103742261637,0.5774431041053523,0.5689484126984127,0.7555555555555555,1.0,0.5888888888888889,161,99,231
MathArticles/wpmath0000006/Bicoherence/10.xml,0.4518135235095983,0.4962042284845271,0.4837872812187198,595.8836078643799,705.2333354949951,748.0158805847168,0.4518135235095983,0.4570793726536045,0.4722643435109481,1.0,1.0,1.0,10,13,12
MathArticles/wpmath0000012/Formulas_for_generating_Pythagorean_triples/76.xml,0.7006804213057054,0.6001552831571022,0.6246635102648627,219.7561264038086,312.56651878356934,237.0705604553223,0.5697035732385672,0.5577851588483859,0.5418073648689539,1.0,1.0,1.0,34,12,16
MathArticles/wpmath0000015/Davenport_constant/5.xml,0.6351568319492387,0.6351568319492387,0.6129030296121563,533.1480503082275,586.453914642334,663.3670330047607,0.6220372890224262,0.6220372890224262,0.6129030296121563,1.0,1.0,1.0,11,11,10
MathArticles/wpmath0000010/Prehomogeneous_vector_space/83.xml,1.0,1.0,1.0,6267.053604125977,1866.7199611663816,6993.4186935424805,0.7127068544881802,0.670397670312144,0.7099368686868687,0.7593103448275862,0.8133333333333334,0.7874074074074074,16189,4208,18482
MathArticles/wpmath0000012/Orthogonality_principle/24.xml,1.0,1.0,1.0,641.7880058288574,689.0578269958496,870.6545829772949,0.9345238095238096,0.9345238095238096,0.9345238095238096,1.0,1.0,1.0,2541,2516,3203
MathArticles/wpmath0000009/Boyle_temperature/2.xml,0.6212572055710988,0.5447865134508506,0.5763043275000242,3640.480756759644,893.822431564331,1054.9659729003906,0.4077718762525809,0.3878715313798176,0.4251974886843614,0.4419325645618749,0.4315245861237917,0.4945587430374448,1225,132,184
MathArticles/wpmath0000006/Kepler_problem/23.xml,0.5828433008447041,0.5850775961265338,0.5829667946135829,671.6263294219971,659.5172882080078,739.0711307525635,0.4196071193270646,0.541248352899254,0.5415496898876981,0.4600367864537119,1.0,1.0,75,43,35
MathArticles/wpmath0000004/Coefficient_of_variation/29.xml,1.0,1.0,1.0,1050.0547885894775,439.4514560699463,516.3350105285645,0.6163325596816976,0.596872789566755,0.5804561229000884,0.6833333333333333,0.6625,0.6495689655172414,2517,798,915
